Subject_ID,Model_1_Actual_MI_Accuracy_Pct,Model_2_GCN_Predicted_MI_Accuracy_Pct,GCN_Absolute_Error_Pct,GCN_Residual_Pct,RF_Predicted_Accuracy_Pct,RF_Absolute_Error_Pct,XGB_Predicted_Accuracy_Pct,XGB_Absolute_Error_Pct,Prediction_Accuracy_Tier
S037,34.96,48.02,13.06,13.06,51.37,16.41,52.47,17.52,Moderate (10% - 15% gap)
S038,35.38,53.1,17.73,17.73,54.84,19.47,52.39,17.01,High Discrepancy (> 15% gap)
S039,42.19,67.72,25.53,25.53,62.9,20.7,52.12,9.92,High Discrepancy (> 15% gap)
S040,47.92,42.77,5.14,-5.14,51.21,3.29,55.13,7.22,Good (5% - 10% gap)
S041,44.93,52.56,7.63,7.63,59.49,14.57,52.94,8.01,Good (5% - 10% gap)
S042,82.41,65.15,17.26,-17.26,59.75,22.66,62.88,19.54,High Discrepancy (> 15% gap)
S043,50.79,64.78,13.99,13.99,56.42,5.63,59.95,9.16,Moderate (10% - 15% gap)
S044,55.43,58.25,2.82,2.82,71.68,16.24,62.46,7.02,High Precision (<= 5% gap)
S045,31.03,55.06,24.03,24.03,53.88,22.85,52.3,21.27,High Discrepancy (> 15% gap)
S046,40.02,50.09,10.07,10.07,52.79,12.77,53.68,13.66,Moderate (10% - 15% gap)
S047,79.46,50.13,29.34,-29.34,52.97,26.49,55.0,24.47,High Discrepancy (> 15% gap)
S048,68.97,48.18,20.79,-20.79,58.79,10.19,62.6,6.37,High Discrepancy (> 15% gap)
S049,77.67,56.1,21.57,-21.57,50.87,26.8,49.84,27.82,High Discrepancy (> 15% gap)
S050,62.06,63.6,1.55,1.55,54.28,7.77,58.31,3.75,High Precision (<= 5% gap)
S051,63.69,86.56,22.87,22.87,57.32,6.37,49.78,13.91,High Discrepancy (> 15% gap)
S052,55.95,48.62,7.33,-7.33,55.55,0.4,50.12,5.83,Good (5% - 10% gap)
S053,88.74,70.52,18.21,-18.21,60.47,28.26,62.61,26.13,High Discrepancy (> 15% gap)
S054,55.14,44.44,10.7,-10.7,61.92,6.78,54.24,0.9,Moderate (10% - 15% gap)
S055,75.69,63.55,12.14,-12.14,62.12,13.57,59.68,16.01,Moderate (10% - 15% gap)
S056,62.06,65.74,3.68,3.68,54.9,7.15,52.58,9.47,High Precision (<= 5% gap)
S057,54.76,47.15,7.61,-7.61,51.16,3.61,46.32,8.45,Good (5% - 10% gap)
S058,54.46,60.03,5.57,5.57,58.66,4.2,51.49,2.97,Good (5% - 10% gap)
S059,42.26,50.25,7.99,7.99,55.33,13.07,60.11,17.85,Good (5% - 10% gap)
S060,66.5,55.8,10.7,-10.7,59.31,7.2,53.33,13.17,Moderate (10% - 15% gap)
S061,62.25,70.69,8.44,8.44,65.25,3.0,66.51,4.25,Good (5% - 10% gap)
S062,61.86,55.87,5.99,-5.99,58.14,3.72,58.11,3.75,Good (5% - 10% gap)
S063,44.66,56.02,11.36,11.36,52.73,8.06,48.34,3.68,Moderate (10% - 15% gap)
S064,68.12,64.65,3.47,-3.47,55.66,12.46,58.78,9.34,High Precision (<= 5% gap)
S065,39.29,59.09,19.81,19.81,51.81,12.52,58.71,19.42,High Discrepancy (> 15% gap)
S066,33.2,54.11,20.91,20.91,61.9,28.7,67.66,34.46,High Discrepancy (> 15% gap)
S067,46.25,48.78,2.53,2.53,62.08,15.84,62.7,16.46,High Precision (<= 5% gap)
S068,55.63,54.73,0.9,-0.9,49.9,5.73,50.01,5.62,High Precision (<= 5% gap)
S069,97.92,87.27,10.64,-10.64,71.26,26.65,55.79,42.13,Moderate (10% - 15% gap)
S070,68.97,54.76,14.21,-14.21,47.7,21.27,49.92,19.06,Moderate (10% - 15% gap)
S071,53.06,70.0,16.94,16.94,52.92,0.14,49.08,3.98,High Discrepancy (> 15% gap)
S072,81.28,60.21,21.07,-21.07,53.92,27.35,55.7,25.58,High Discrepancy (> 15% gap)
S073,42.86,45.96,3.1,3.1,52.64,9.78,49.86,7.01,High Precision (<= 5% gap)
S074,69.48,60.43,9.05,-9.05,54.77,14.71,51.66,17.82,Good (5% - 10% gap)
S075,70.95,71.62,0.68,0.68,58.47,12.47,58.05,12.9,High Precision (<= 5% gap)
S076,61.9,61.47,0.43,-0.43,55.65,6.25,55.95,5.95,High Precision (<= 5% gap)
S077,55.06,59.03,3.97,3.97,53.05,2.01,46.25,8.81,High Precision (<= 5% gap)
S078,53.36,63.23,9.87,9.87,62.32,8.96,55.92,2.56,Good (5% - 10% gap)
S079,50.89,45.72,5.17,-5.17,53.12,2.23,55.17,4.28,Good (5% - 10% gap)
S080,46.64,55.1,8.46,8.46,55.15,8.51,56.09,9.45,Good (5% - 10% gap)
S081,88.93,56.79,32.14,-32.14,72.06,16.88,71.59,17.35,High Discrepancy (> 15% gap)
S082,48.81,57.51,8.7,8.7,55.25,6.44,59.15,10.34,Good (5% - 10% gap)
S083,64.43,77.87,13.44,13.44,52.13,12.3,55.46,8.97,Moderate (10% - 15% gap)
S084,31.03,54.67,23.64,23.64,52.18,21.15,48.44,17.42,High Discrepancy (> 15% gap)
S085,77.67,55.93,21.74,-21.74,58.19,19.48,63.05,14.62,High Discrepancy (> 15% gap)
S086,53.26,78.41,25.15,25.15,59.61,6.35,49.91,3.35,High Discrepancy (> 15% gap)
S087,52.96,69.57,16.6,16.6,55.6,2.64,56.83,3.87,High Discrepancy (> 15% gap)
S088,40.39,56.39,16.0,16.0,61.88,21.49,59.61,19.21,High Discrepancy (> 15% gap)
S089,84.82,41.55,43.27,-43.27,52.87,31.95,54.88,29.94,High Discrepancy (> 15% gap)
S090,79.84,59.07,20.77,-20.77,61.33,18.52,59.11,20.73,High Discrepancy (> 15% gap)
S091,77.67,65.98,11.69,-11.69,68.49,9.18,63.65,14.02,Moderate (10% - 15% gap)
S092,59.63,58.99,0.64,-0.64,55.57,4.06,52.57,7.06,High Precision (<= 5% gap)
S093,44.47,60.32,15.85,15.85,58.19,13.73,52.42,7.96,High Discrepancy (> 15% gap)
S094,50.49,49.71,0.79,-0.79,62.73,12.24,60.9,10.41,High Precision (<= 5% gap)
S095,44.37,55.62,11.26,11.26,56.47,12.1,52.0,7.63,Moderate (10% - 15% gap)
S096,67.09,62.56,4.54,-4.54,62.92,4.17,68.97,1.88,High Precision (<= 5% gap)
S097,86.86,64.73,22.13,-22.13,64.48,22.37,65.04,21.82,High Discrepancy (> 15% gap)
S098,48.91,73.16,24.25,24.25,61.37,12.46,59.82,10.9,High Discrepancy (> 15% gap)
S099,37.45,47.14,9.69,9.69,55.95,18.5,54.1,16.65,Good (5% - 10% gap)
S100,63.89,74.3,10.41,10.41,59.58,4.31,58.91,4.98,Moderate (10% - 15% gap)
S101,88.83,47.03,41.81,-41.81,50.7,38.14,52.27,36.57,High Discrepancy (> 15% gap)
S102,61.9,59.54,2.36,-2.36,52.36,9.54,50.37,11.53,High Precision (<= 5% gap)
S103,64.43,60.97,3.45,-3.45,56.81,7.62,57.78,6.64,High Precision (<= 5% gap)
S104,50.0,69.43,19.43,19.43,53.36,3.36,53.96,3.96,High Discrepancy (> 15% gap)
S105,46.64,46.61,0.03,-0.03,54.38,7.74,50.72,4.08,High Precision (<= 5% gap)
S106,37.2,45.84,8.64,8.64,60.22,23.01,62.84,25.64,Good (5% - 10% gap)
S107,41.67,57.93,16.26,16.26,56.7,15.04,61.79,20.12,High Discrepancy (> 15% gap)
S108,64.53,90.69,26.16,26.16,74.06,9.54,77.95,13.42,High Discrepancy (> 15% gap)
S109,48.72,52.26,3.55,3.55,53.49,4.77,59.58,10.87,High Precision (<= 5% gap)
